"journal_name","impact_factor","ranking"
"Controlling, Zeitschrift für erfolgsorientierte Unternehmenssteuerung","D","VHB"
"Corporate Finance","D","VHB"
"Corporate Governance An International Review","C","VHB"
"Corporate Governance: The International Journal of Business in Society","C","VHB"
"Corporate Ownership and Control","C","VHB"
"Corporate Reputation Review","D","VHB"
"Corporate Social Responsibility and Environmental Management","C","VHB"
"Cost Management","D","VHB"
"Creativity and Innovation Management","C","VHB"
"Credit and Capital Markets - Kredit und Kapital","C","VHB"
"Critical Finance Review","","VHB"
"Critical Perspectives on Accounting","B","VHB"
"Critical Perspectives on International Business","","VHB"
"Cross Cultural Management: An International Journal","C","VHB"
"Cross-Cultural Research","","VHB"
"Culture and Organization","","VHB"
"Customer Needs and Solutions","","VHB"
"Das Gesundheitswesen","C","VHB"
"Das Hochschulwesen","","VHB"
"Das Krankenhaus","","VHB"
"Data & Knowledge Engineering","B","VHB"
"Database and Expert Systems Applications. Proceedings of the International Conference DEXA","","VHB"
"Datenschutz und Datensicherheit","","VHB"
"DBW Die Betriebswirtschaft- Business Administration Review","C","VHB"
"Decision Analysis","","VHB"
"Decision Sciences","B","VHB"
"Decision Support Systems","B","VHB"
"Der Betrieb","D","VHB"
"Der Betriebswirt - Management in Wissenschaft und Praxis","D","VHB"
"Der Konzern: Zeitschrift für Gesellschaftsrecht, Steuerrecht, Bilanzrecht und Rechnungslegung der verbundenen Unternehmen","D","VHB"
"der markt - International Journal of Marketing","D","VHB"
"der moderne staat: Zeitschrift für Public Policy, Recht und Management","C","VHB"
"Der Steuerberater - Zeitschrift für Beruf und Praxis","","VHB"
"Deutsche SteuerZeitung","D","VHB"
"Deutsches Steuerrecht","D","VHB"
"Die Aktiengesellschaft","D","VHB"
"Die Bank","","VHB"
"Die öffentliche Verwaltung","","VHB"
"Die Steuerberatung","","VHB"
"Die steuerliche Betriebsprüfung","","VHB"
"Die Unternehmensbesteuerung","D","VHB"
"Die Unternehmung - Swiss Journal of Business Research and Practice","C","VHB"
"Die Verwaltung: Zeitschrift für Verwaltungsrecht und Verwaltungswissenschaften","","VHB"
"Die Wirtschaftsprüfung (WPg)","C","VHB"
"Discrete Applied Mathematics","A","VHB"
"EC Tax Review","","VHB"
"Ecological Economics","B","VHB"
"E-Commerce and Web Technologies. Proceedings of the International Conference EC-Web","","VHB"
"Econometrica","A+","VHB"
"Economic Journal","","VHB"
"Economics Letters","B","VHB"
"Economics of Education Review","","VHB"
"Economics of Innovation and New Technology","B","VHB"
"eJournal of Tax Research","","VHB"
"Electronic Commerce Research","C","VHB"
"Electronic Commerce Research and Applications","C","VHB"
"Electronic Markets (em)","B","VHB"
"Employee Relations","B","VHB"
"Energy Economics","B","VHB"
"Energy Policy","B","VHB"
"Enterprise Modelling and Information Systems Architectures","C","VHB"
"Entrepreneurship & Regional Development","B","VHB"
"Entrepreneurship: Theory and Practice","A","VHB"
"e-Service Journal","D","VHB"
"EURO Journal on Computational Optimization","","VHB"
"EURO Journal on Decision Processes","","VHB"
"EURO Journal on Transportation and Logistics","B","VHB"
"Europäische Zeitschrift für Wirtschaftsrecht","","VHB"
"Europäisches Wirtschafts und Steuerrecht","","VHB"
"European Accounting Review","A","VHB"
"European Business Journal","C","VHB"
"European Economic Review","","VHB"
"European Financial Management","B","VHB"
"European Journal of Finance","B","VHB"
"European Journal of Health Economics","B","VHB"
"European Journal of Industrial Relations","","VHB"
"European Journal of Information Systems","A","VHB"
"European Journal of Innovation Management","C","VHB"
"European Journal of International Management","B","VHB"
"European Journal of Law and Economics","C","VHB"
"European Journal of Management (EJM): A Publication of the Academy of International Business and Economics","C","VHB"
"European Journal of Marketing","C","VHB"
"European Journal of Operational Research","A","VHB"
"European Journal of Political Economy","","VHB"
"European Journal of Work & Organizational Psychology","B","VHB"
"European Management Journal","B","VHB"
"European Management Review","B","VHB"
"European Sport Management Quarterly","","VHB"
"European Taxation","C","VHB"
"Evolutionary Computation","","VHB"
"Experimental Economics","A","VHB"
"f&w führen und wirtschaften im Krankenhaus","","VHB"
"Family Business Review","B","VHB"
"Finance and Stochastics","B","VHB"
"Finance Research Letters","B","VHB"
"Financial Accountability and Management","C","VHB"
"Financial Analysts Journal","B","VHB"
"Financial Management","B","VHB"
"Financial Markets and Portfolio Management","C","VHB"
"Financial Markets, Institutions and Instruments","","VHB"
"Financial Review","B/C","VHB"
"FinanzArchiv - Public Finance Analysis","B","VHB"
"Finanz-Rundschau","C","VHB"
"Fiscal Studies","C","VHB"
"Flexible Services and Manufacturing Journal","B","VHB"
"Forum Wirtschaftsethik","","VHB"
"Frontiers of Entrepreneurship Research","C","VHB"
"Fuzzy Sets and Systems","","VHB"
"GAIA - ökologische Perspektiven in Natur-, Geistes- und Wirtschaftswissenschaften","D","VHB"
"Gender, Work & Organization","B","VHB"
