"citation_key","author","title","year","journal","volume","issue","pages","doi","file_name","data_1"
"Azmuk","Azmuk, N","Essence, features and functions of the labour digital market","no year","Bulletin of Taras Shevchenko National University …","no volume","no issue","no pages","no doi","no file","TODO"
"Barbas2020","Barbas, MP and Matos, P and , ...","Study of the innovative training module"" communication and customer service"" in a pioneer training course:"" Digital Literacy for Labour Market""","2020","13th International …","no volume","no issue","no pages","no doi","no file","TODO"
"Lapina2020","Lapina, MA and Shirokovskikh, SA and , ...","Digital service economy: current trends and labour market effects","2020","Revista …","no volume","no issue","no pages","no doi","no file","TODO"
